                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84703,                 3.1799,                0.99325,                0.00478,                0.95653,                0.42615,                0.34812,                0.63783,                 3.9743,                0.83062,             0.00036192,             0.00036192,             0.00036192
                      2,                0.75463,                 1.7153,                0.97528,                0.91161,                0.74551,                0.92606,                 0.7746,                0.72137,                 2.8202,                 0.9344,               0.000725,               0.000725,               0.000725
                      3,                0.75913,                  1.516,                0.99375,                0.93323,                0.94378,                0.97658,                0.80077,                0.73302,                 1.2416,                0.98494,              0.0010808,              0.0010808,              0.0010808
                      4,                0.76696,                 1.3338,                 1.0049,                0.91671,                0.94535,                0.97412,                0.79805,                 0.7331,                 1.0853,                 1.0054,               0.001078,               0.001078,               0.001078
                      5,                0.71494,                   1.16,                0.96633,                0.97173,                0.94297,                0.99214,                0.84615,                 0.6348,                0.95156,                0.94652,               0.001078,               0.001078,               0.001078
                      6,                0.68289,                 1.0268,                0.96175,                0.89061,                 0.8941,                 0.9165,                0.80088,                0.60817,                 1.3089,                0.94894,               0.001067,               0.001067,               0.001067
                      7,                0.68531,                 0.9233,                0.96553,                0.97811,                0.96986,                0.99069,                 0.8357,                0.63555,                0.72445,                0.94543,               0.001056,               0.001056,               0.001056
                      8,                0.65968,                0.83511,                 0.9511,                0.98681,                  0.993,                  0.995,                0.86832,                0.58124,                0.62516,                0.93899,               0.001045,               0.001045,               0.001045
                      9,                0.64845,                0.81277,                 0.9427,                0.98414,                 0.9913,                0.99442,                0.86106,                0.59822,                 0.6452,                 0.9491,               0.001034,               0.001034,               0.001034
                     10,                0.64122,                 0.7362,                0.93515,                0.98239,                0.97299,                0.99427,                0.86366,                0.60953,                0.53712,                 0.9307,               0.001023,               0.001023,               0.001023
                     11,                0.62907,                0.69786,                0.93913,                0.98535,                0.98809,                  0.992,                 0.8732,                0.55311,                0.46511,                0.93197,               0.001012,               0.001012,               0.001012
                     12,                0.61224,                0.65152,                0.93839,                0.99138,                0.99044,                0.99363,                0.87912,                0.56509,                0.44474,                0.94334,               0.001001,               0.001001,               0.001001
                     13,                0.63019,                0.62143,                0.94471,                0.98812,                0.97693,                0.99304,                0.86744,                0.56188,                0.45147,                0.93338,             0.00099001,             0.00099001,             0.00099001
                     14,                0.61109,                0.60966,                 0.9373,                0.99315,                0.98829,                 0.9948,                0.87725,                0.57762,                0.45217,                0.93688,             0.00097901,             0.00097901,             0.00097901
                     15,                0.59448,                0.56877,                0.93645,                0.98497,                0.99628,                0.99405,                0.86391,                0.58441,                0.42309,                0.94049,             0.00096801,             0.00096801,             0.00096801
                     16,                0.58945,                0.54757,                 0.9233,                0.99016,                0.99494,                  0.995,                0.89344,                0.53321,                0.39084,                0.92057,             0.00095702,             0.00095702,             0.00095702
                     17,                0.56862,                0.52482,                0.92023,                0.99597,                0.99856,                  0.995,                0.89044,                0.52398,                0.40533,                0.91888,             0.00094602,             0.00094602,             0.00094602
                     18,                0.58607,                0.51883,                0.91954,                0.97928,                 0.9988,                0.99497,                0.86988,                0.55791,                0.40477,                0.91947,             0.00093502,             0.00093502,             0.00093502
                     19,                0.55133,                0.49134,                0.92103,                0.98998,                0.99265,                0.99339,                0.88712,                0.53017,                0.39666,                0.91597,             0.00092402,             0.00092402,             0.00092402
                     20,                0.55226,                0.48657,                0.91782,                0.99093,                0.99615,                  0.995,                0.88872,                0.54678,                0.39103,                0.92641,             0.00091302,             0.00091302,             0.00091302
                     21,                 0.5917,                0.49591,                0.93481,                0.99103,                0.98754,                0.99489,                0.88677,                0.51794,                0.38213,                0.91922,             0.00090202,             0.00090202,             0.00090202
                     22,                0.55665,                 0.4768,                0.91257,                0.98573,                0.99728,                  0.995,                 0.8854,                0.53685,                0.38069,                0.91587,             0.00089102,             0.00089102,             0.00089102
                     23,                0.57714,                 0.4757,                0.92522,                0.99649,                0.99738,                  0.995,                0.88561,                0.53642,                0.36812,                0.91452,             0.00088002,             0.00088002,             0.00088002
                     24,                 0.5561,                0.46192,                0.92038,                0.99143,                0.99317,                0.99441,                 0.8835,                0.52748,                0.37282,                0.92258,             0.00086902,             0.00086902,             0.00086902
                     25,                0.55839,                0.46024,                0.90912,                0.99725,                0.99579,                0.99497,                0.89335,                0.53081,                0.36447,                0.91288,             0.00085803,             0.00085803,             0.00085803
                     26,                0.54263,                0.42666,                0.91693,                 0.9846,                0.99732,                0.99475,                 0.8902,                0.51355,                0.35806,                 0.9206,             0.00084703,             0.00084703,             0.00084703
                     27,                0.56563,                0.43472,                0.91931,                0.99063,                0.99802,                  0.995,                0.88184,                0.53041,                0.35602,                0.92497,             0.00083603,             0.00083603,             0.00083603
                     28,                0.54779,                0.42953,                0.91712,                0.99714,                0.99385,                 0.9949,                0.89365,                0.53374,                0.35186,                0.92623,             0.00082503,             0.00082503,             0.00082503
                     29,                0.55399,                0.44096,                0.91005,                0.98492,                0.99487,                 0.9942,                0.88897,                0.52256,                0.35384,                0.91938,             0.00081403,             0.00081403,             0.00081403
                     30,                0.52171,                0.41292,                0.91283,                 0.9974,                0.99919,                  0.995,                0.89398,                0.51711,                0.33657,                0.91526,             0.00080303,             0.00080303,             0.00080303
                     31,                0.53228,                0.42231,                0.90632,                0.99606,                0.99687,                0.99497,                0.88303,                0.53295,                0.35598,                0.92066,             0.00079203,             0.00079203,             0.00079203
                     32,                0.50531,                0.40452,                0.89177,                0.99889,                0.99402,                  0.995,                 0.8992,                0.50697,                 0.3383,                0.91892,             0.00078103,             0.00078103,             0.00078103
                     33,                0.51547,                0.43381,                0.90801,                0.99711,                0.99982,                  0.995,                0.89416,                 0.5159,                0.34418,                0.91719,             0.00077003,             0.00077003,             0.00077003
                     34,                0.50716,                0.38868,                0.89132,                0.99069,                0.99747,                  0.995,                0.89005,                 0.5217,                0.34315,                 0.9172,             0.00075904,             0.00075904,             0.00075904
                     35,                0.52083,                0.39119,                0.91251,                0.99447,                      1,                  0.995,                0.90004,                0.50881,                0.33728,                0.91135,             0.00074804,             0.00074804,             0.00074804
                     36,                0.50848,                0.38556,                 0.8941,                0.99474,                0.99841,                  0.995,                0.90689,                0.50654,                0.34748,                 0.9129,             0.00073704,             0.00073704,             0.00073704
                     37,                0.52389,                0.39781,                0.89628,                0.99614,                0.99882,                  0.995,                0.89734,                0.52611,                0.33557,                0.90973,             0.00072604,             0.00072604,             0.00072604
                     38,                0.53803,                0.40334,                0.91013,                0.99655,                      1,                  0.995,                0.89468,                0.51986,                0.33482,                0.91192,             0.00071504,             0.00071504,             0.00071504
                     39,                0.51324,                0.38301,                0.89361,                0.99636,                      1,                  0.995,                0.89336,                 0.5147,                0.32402,                0.91333,             0.00070404,             0.00070404,             0.00070404
                     40,                0.51059,                0.39781,                0.89679,                0.99288,                0.99687,                0.99497,                0.89941,                0.51679,                0.32684,                0.90989,             0.00069304,             0.00069304,             0.00069304
                     41,                0.48459,                0.36506,                0.87458,                0.99064,                0.99753,                  0.995,                0.90059,                0.50925,                0.30985,                0.91389,             0.00068204,             0.00068204,             0.00068204
                     42,                0.49578,                0.37428,                 0.9008,                0.99071,                0.99375,                0.99468,                0.89381,                 0.5246,                 0.3291,                0.91536,             0.00067104,             0.00067104,             0.00067104
                     43,                0.48306,                0.36752,                 0.8823,                0.99411,                0.99793,                  0.995,                0.90329,                 0.4992,                0.32106,                0.91858,             0.00066005,             0.00066005,             0.00066005
                     44,                0.49518,                0.37363,                0.89334,                0.98922,                0.99576,                  0.995,                0.90051,                0.50405,                0.31664,                0.91806,             0.00064905,             0.00064905,             0.00064905
                     45,                0.49623,                0.37865,                0.90595,                0.99438,                0.99792,                  0.995,                0.89859,                0.50074,                0.31107,                0.92084,             0.00063805,             0.00063805,             0.00063805
                     46,                0.49173,                0.37719,                0.89598,                0.99726,                      1,                  0.995,                0.91376,                0.48172,                0.30329,                0.91274,             0.00062705,             0.00062705,             0.00062705
                     47,                0.47724,                0.35945,                0.89256,                0.99713,                      1,                  0.995,                0.90763,                0.50717,                0.30419,                0.90916,             0.00061605,             0.00061605,             0.00061605
                     48,                0.47893,                0.35074,                0.89298,                0.99725,                      1,                  0.995,                0.91195,                0.47178,                0.29924,                0.91024,             0.00060505,             0.00060505,             0.00060505
                     49,                0.49229,                0.34677,                0.88362,                0.99775,                      1,                  0.995,                0.90998,                0.48234,                0.29479,                0.91136,             0.00059405,             0.00059405,             0.00059405
                     50,                 0.4903,                0.35219,                 0.8965,                0.99405,                      1,                  0.995,                0.91726,                0.46576,                0.29183,                0.91273,             0.00058305,             0.00058305,             0.00058305
                     51,                0.46583,                0.34295,                 0.8877,                0.99831,                0.99935,                  0.995,                0.91875,                0.47627,                0.27906,                0.91332,             0.00057205,             0.00057205,             0.00057205
                     52,                0.48348,                0.36018,                0.91027,                0.99325,                0.99487,                 0.9949,                0.91886,                0.48561,                0.29075,                0.90744,             0.00056105,             0.00056105,             0.00056105
                     53,                0.47577,                 0.3498,                0.89635,                0.99245,                0.99685,                  0.995,                0.91686,                0.47477,                0.29287,                0.90111,             0.00055006,             0.00055006,             0.00055006
                     54,                0.46193,                 0.3382,                0.88481,                0.99671,                0.99509,                  0.995,                0.91278,                0.47692,                0.28619,                0.90496,             0.00053906,             0.00053906,             0.00053906
                     55,                0.46449,                0.33666,                 0.8852,                0.99675,                0.99437,                0.99475,                0.90984,                0.46574,                0.28519,                0.90212,             0.00052806,             0.00052806,             0.00052806
                     56,                 0.4465,                0.33193,                0.87351,                0.99259,                0.98735,                0.99472,                0.91742,                0.46053,                0.29053,                0.90152,             0.00051706,             0.00051706,             0.00051706
                     57,                 0.4589,                 0.3483,                0.88658,                0.99554,                      1,                  0.995,                  0.906,                0.49251,                 0.3005,                0.91024,             0.00050606,             0.00050606,             0.00050606
                     58,                0.46258,                0.33923,                0.87309,                 0.9909,                0.99881,                  0.995,                0.91431,                0.48351,                0.29183,                 0.9117,             0.00049506,             0.00049506,             0.00049506
                     59,                0.45398,                0.31931,                0.87847,                0.99479,                0.99724,                  0.995,                0.91432,                0.47758,                0.29474,                0.89797,             0.00048406,             0.00048406,             0.00048406
                     60,                0.46786,                0.32207,                0.88318,                 0.9927,                      1,                  0.995,                 0.9201,                0.46964,                0.28589,                0.91038,             0.00047306,             0.00047306,             0.00047306
                     61,                0.43692,                0.30524,                0.87217,                0.99649,                0.99592,                  0.995,                0.91762,                0.46848,                0.28491,                0.90458,             0.00046206,             0.00046206,             0.00046206
                     62,                0.45229,                0.32264,                 0.8772,                 0.9953,                0.99938,                  0.995,                0.92328,                0.45312,                0.28051,                0.89579,             0.00045107,             0.00045107,             0.00045107
                     63,                0.43488,                0.31205,                0.86763,                0.99406,                 0.9983,                  0.995,                0.91657,                0.45773,                0.27182,                0.90209,             0.00044007,             0.00044007,             0.00044007
                     64,                0.46962,                0.31966,                0.88063,                0.99459,                 0.9986,                  0.995,                0.91904,                0.45427,                0.26636,                0.89474,             0.00042907,             0.00042907,             0.00042907
                     65,                0.44307,                0.31883,                0.87902,                0.99472,                 0.9964,                  0.995,                0.92002,                0.45833,                0.27104,                0.89952,             0.00041807,             0.00041807,             0.00041807
                     66,                0.45345,                0.31006,                0.87826,                0.99611,                0.99712,                  0.995,                0.91659,                0.45297,                0.25866,                0.89716,             0.00040707,             0.00040707,             0.00040707
                     67,                0.43611,                0.31334,                0.87082,                0.99697,                0.99781,                  0.995,                0.91653,                0.44936,                0.26584,                0.89265,             0.00039607,             0.00039607,             0.00039607
                     68,                0.45449,                0.31818,                 0.8819,                0.99604,                0.99911,                  0.995,                0.92249,                0.44317,                0.26165,                 0.8942,             0.00038507,             0.00038507,             0.00038507
                     69,                0.42137,                0.30245,                0.86635,                0.99325,                0.99875,                  0.995,                0.91826,                0.44137,                0.26017,                0.89607,             0.00037407,             0.00037407,             0.00037407
                     70,                0.42555,                0.30108,                 0.8623,                0.99661,                0.99723,                  0.995,                0.91851,                0.44982,                0.26388,                0.89907,             0.00036307,             0.00036307,             0.00036307
                     71,                0.42635,                0.29878,                0.87785,                0.98777,                0.99863,                0.99475,                0.92626,                0.44851,                0.26308,                0.89928,             0.00035208,             0.00035208,             0.00035208
                     72,                0.41848,                0.29058,                0.86581,                0.99549,                0.99487,                0.99497,                0.92501,                0.46144,                0.26422,                0.90246,             0.00034108,             0.00034108,             0.00034108
                     73,                0.42727,                0.29926,                 0.8803,                0.99674,                 0.9983,                  0.995,                0.92301,                0.44909,                0.26084,                0.90119,             0.00033008,             0.00033008,             0.00033008
                     74,                0.42657,                0.30085,                0.86594,                0.99299,                 0.9986,                  0.995,                0.92237,                 0.4538,                0.26445,                0.89572,             0.00031908,             0.00031908,             0.00031908
                     75,                0.41944,                0.30001,                0.87185,                0.99659,                0.99646,                  0.995,                 0.9264,                0.43624,                0.26381,                 0.8942,             0.00030808,             0.00030808,             0.00030808
                     76,                0.41677,                0.29117,                0.86371,                0.99486,                0.99901,                  0.995,                0.93357,                0.44526,                0.25703,                0.89472,             0.00029708,             0.00029708,             0.00029708
                     77,                 0.4145,                0.29073,                0.86454,                0.99308,                0.99975,                  0.995,                0.92303,                0.45276,                0.25546,                 0.9028,             0.00028608,             0.00028608,             0.00028608
                     78,                0.41065,                0.28519,                0.86722,                0.99631,                0.99764,                  0.995,                0.92595,                0.44681,                0.25536,                0.89712,             0.00027508,             0.00027508,             0.00027508
                     79,                0.40307,                0.28637,                0.85729,                0.99571,                0.99605,                  0.995,                0.92848,                 0.4488,                0.25648,                0.89671,             0.00026408,             0.00026408,             0.00026408
                     80,                0.41555,                0.28857,                0.86668,                0.99585,                0.99747,                  0.995,                0.92666,                0.43933,                0.25206,                0.89123,             0.00025309,             0.00025309,             0.00025309
                     81,                0.40346,                0.28289,                0.86341,                0.99396,                0.99598,                  0.995,                0.93072,                0.43699,                0.24541,                0.89276,             0.00024209,             0.00024209,             0.00024209
                     82,                0.39442,                0.27885,                0.85911,                0.99658,                0.99788,                  0.995,                 0.9301,                0.44934,                0.25077,                0.89543,             0.00023109,             0.00023109,             0.00023109
                     83,                0.39724,                 0.2779,                0.84429,                0.99719,                0.99842,                  0.995,                0.92963,                 0.4408,                0.24691,                0.89707,             0.00022009,             0.00022009,             0.00022009
                     84,                0.40191,                0.27866,                0.86708,                0.99669,                0.99683,                  0.995,                0.93719,                0.42633,                0.24184,                0.89312,             0.00020909,             0.00020909,             0.00020909
                     85,                0.40802,                0.27573,                0.86189,                0.99639,                0.99623,                  0.995,                0.92947,                0.43871,                0.23726,                0.89229,             0.00019809,             0.00019809,             0.00019809
                     86,                0.39429,                0.27612,                0.86296,                 0.9965,                0.99442,                  0.995,                0.92862,                0.42855,                0.24431,                0.89226,             0.00018709,             0.00018709,             0.00018709
                     87,                0.39032,                0.27464,                 0.8572,                 0.9949,                0.99762,                  0.995,                0.92619,                0.43525,                0.24206,                0.89417,             0.00017609,             0.00017609,             0.00017609
                     88,                0.39104,                0.27603,                0.84906,                0.99565,                  0.995,                  0.995,                0.93692,                0.42273,                0.23609,                0.88922,             0.00016509,             0.00016509,             0.00016509
                     89,                0.39986,                0.26623,                0.86721,                0.99658,                0.99418,                  0.995,                  0.931,                0.43323,                0.24061,                0.89134,              0.0001541,              0.0001541,              0.0001541
                     90,                0.38069,                0.26656,                0.85439,                0.99638,                0.99688,                  0.995,                0.93501,                0.42505,                0.23898,                0.88755,              0.0001431,              0.0001431,              0.0001431
                     91,                0.36673,                0.24744,                0.85009,                0.99556,                0.99533,                  0.995,                0.93023,                 0.4284,                0.23479,                 0.8904,              0.0001321,              0.0001321,              0.0001321
                     92,                0.37825,                0.26159,                0.85909,                0.99392,                0.99463,                  0.995,                0.93185,                0.42623,                0.23407,                0.88791,              0.0001211,              0.0001211,              0.0001211
                     93,                 0.3536,                 0.2457,                0.85601,                0.99273,                 0.9978,                  0.995,                0.93252,                0.42295,                0.23843,                 0.8881,              0.0001101,              0.0001101,              0.0001101
                     94,                0.37283,                0.25385,                 0.8498,                0.99345,                0.99693,                  0.995,                0.93232,                0.43286,                0.23684,                0.88954,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.36481,                0.24592,                0.86286,                0.99346,                0.99668,                  0.995,                0.93189,                0.43277,                0.23911,                 0.8891,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.36412,                0.24606,                0.85231,                0.99379,                0.99512,                  0.995,                0.92735,                0.42514,                0.23516,                0.88588,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.35275,                0.23935,                0.84994,                0.99485,                0.99576,                  0.995,                0.93071,                0.42764,                0.23607,                0.88993,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.35865,                0.24244,                0.85184,                0.99532,                0.99637,                  0.995,                0.92676,                0.43124,                0.23491,                0.89282,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.36527,                 0.2501,                0.86383,                 0.9958,                0.99692,                  0.995,                0.92414,                0.42963,                0.23433,                0.89426,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.34502,                0.24363,                0.84494,                0.99629,                0.99574,                  0.995,                0.92429,                0.42994,                  0.234,                0.89305,             3.3108e-05,             3.3108e-05,             3.3108e-05
